controller,scenario,metric,higher_is_better,value,value_std,n,run_id
FLC,multisine_frequency_probe,saturation_events,False,0.0,0.0,3,multi_seed
FLC,multisine_frequency_probe,settling_time_s,False,,,0,multi_seed
FLC,multisine_frequency_probe,spectral_error_power,False,0.0,0.0,3,multi_seed
FLC,multisine_frequency_probe,stability_flag,True,1.0,0.0,3,multi_seed
FLC,multisine_frequency_probe,time_above_temp_limit_s,False,0.0,0.0,3,multi_seed
FLC,multisine_frequency_probe,time_in_saturation_s,False,0.0,0.0,3,multi_seed
FLC,multisine_frequency_probe,time_out_of_band_s,False,0.02,0.0,3,multi_seed
FLC,multisine_frequency_probe,total_time_unsafe_s,False,0.02,0.0,3,multi_seed
FLC,multisine_frequency_probe,worst_tail_abs_err,False,1318.1995909207408,0.0,3,multi_seed
FLC,parameter_randomization_drills,abs_err_p50,False,308.2039251283266,23.442783380380508,3,multi_seed
FLC,parameter_randomization_drills,abs_err_p90,False,1068.5188291620927,56.993095592036646,3,multi_seed
FLC,parameter_randomization_drills,abs_err_p95,False,1168.0268651867952,59.34275568803599,3,multi_seed
FLC,parameter_randomization_drills,arrhenius_exposure,False,4.5708010935787126e-14,1.2554595936121313e-15,3,multi_seed
FLC,parameter_randomization_drills,bandwidth_proxy_hz,True,,,0,multi_seed
FLC,parameter_randomization_drills,coherence_lowmid,True,,,0,multi_seed
FLC,parameter_randomization_drills,cvar_abs_err,False,1264.5896218485552,61.114166518734095,3,multi_seed
FLC,parameter_randomization_drills,effort_l1,False,0.1897729334389635,0.0007895197694996,3,multi_seed
FLC,parameter_randomization_drills,effort_l2,False,0.1291572291542069,5.577998015849445e-05,3,multi_seed
FLC,parameter_randomization_drills,glfi,True,0.8525270490029012,0.0084910885755601,3,multi_seed
FLC,parameter_randomization_drills,iae_abs_err,False,174.76585322831056,15.005636650777518,3,multi_seed
FLC,parameter_randomization_drills,itae_abs_err,False,53.83188580898817,6.009689550808767,3,multi_seed
FLC,parameter_randomization_drills,jerk_l2,False,3.340304360514063,0.0864795059561083,3,multi_seed
FLC,parameter_randomization_drills,log_decrement,False,,,0,multi_seed
FLC,parameter_randomization_drills,max_delta_temp_over_limit_C,False,0.0,0.0,3,multi_seed
FLC,parameter_randomization_drills,max_freq_deviation_hz,False,1.0958811442057292,0.06825622950572,3,multi_seed
FLC,parameter_randomization_drills,max_rocof_hz_s,False,8.292007446289055,0.2242356636805233,3,multi_seed
FLC,parameter_randomization_drills,overshoot_pct,False,1.9876298034497992,0.0,3,multi_seed
FLC,parameter_randomization_drills,reversal_count,False,0.0,0.0,3,multi_seed
FLC,parameter_randomization_drills,rmse_error,False,606.866579794109,33.162181698896376,3,multi_seed
FLC,parameter_randomization_drills,safety_margin_min,True,-0.0958811442057291,0.06825622950572,3,multi_seed
FLC,parameter_randomization_drills,saturation_events,False,0.0,0.0,3,multi_seed
FLC,parameter_randomization_drills,settling_time_s,False,,,0,multi_seed
FLC,parameter_randomization_drills,spectral_error_power,False,0.0,0.0,3,multi_seed
FLC,parameter_randomization_drills,stability_flag,True,1.0,0.0,3,multi_seed
FLC,parameter_randomization_drills,time_above_temp_limit_s,False,0.0,0.0,3,multi_seed
FLC,parameter_randomization_drills,time_in_saturation_s,False,0.0,0.0,3,multi_seed
FLC,parameter_randomization_drills,time_out_of_band_s,False,0.02,0.0,3,multi_seed
FLC,parameter_randomization_drills,total_time_unsafe_s,False,0.02,0.0,3,multi_seed
FLC,parameter_randomization_drills,worst_tail_abs_err,False,1264.5896218485552,61.114166518734095,3,multi_seed
FLC,prbs_excitation_probe,abs_err_p50,False,256.0479837663101,0.0,3,multi_seed
FLC,prbs_excitation_probe,abs_err_p90,False,965.0207642440682,0.0,3,multi_seed
FLC,prbs_excitation_probe,abs_err_p95,False,1026.4395848308482,0.0,3,multi_seed
FLC,prbs_excitation_probe,arrhenius_exposure,False,5.2817569401055014e-14,0.0,3,multi_seed
FLC,prbs_excitation_probe,bandwidth_proxy_hz,True,,,0,multi_seed
FLC,prbs_excitation_probe,coherence_lowmid,True,,,0,multi_seed
FLC,prbs_excitation_probe,cvar_abs_err,False,1093.7367182580138,0.0,3,multi_seed
FLC,prbs_excitation_probe,effort_l1,False,0.3294813009940046,0.0,3,multi_seed
FLC,prbs_excitation_probe,effort_l2,False,0.266628187680225,0.0,3,multi_seed
FLC,prbs_excitation_probe,glfi,True,0.8564128090066171,0.0,3,multi_seed
FLC,prbs_excitation_probe,iae_abs_err,False,197.4818534031984,0.0,3,multi_seed
FLC,prbs_excitation_probe,itae_abs_err,False,67.34284313800993,0.0,3,multi_seed
FLC,prbs_excitation_probe,jerk_l2,False,3.9873860094278055,0.0,3,multi_seed
FLC,prbs_excitation_probe,log_decrement,False,-0.6012161786616222,0.0,3,multi_seed
FLC,prbs_excitation_probe,max_delta_temp_over_limit_C,False,0.0,0.0,3,multi_seed
FLC,prbs_excitation_probe,max_freq_deviation_hz,False,1.0036048889160156,0.0,3,multi_seed
FLC,prbs_excitation_probe,max_rocof_hz_s,False,6.865501403808607,0.0,3,multi_seed
FLC,prbs_excitation_probe,overshoot_pct,False,7.355399793105058,0.0,3,multi_seed
FLC,prbs_excitation_probe,reversal_count,False,0.0,0.0,3,multi_seed
FLC,prbs_excitation_probe,rmse_error,False,568.1366718237601,0.0,3,multi_seed
FLC,prbs_excitation_probe,safety_margin_min,True,-0.0036048889160155,0.0,3,multi_seed
FLC,prbs_excitation_probe,saturation_events,False,0.0,0.0,3,multi_seed
FLC,prbs_excitation_probe,settling_time_s,False,,,0,multi_seed
FLC,prbs_excitation_probe,spectral_error_power,False,0.0,0.0,3,multi_seed
FLC,prbs_excitation_probe,stability_flag,True,1.0,0.0,3,multi_seed
FLC,prbs_excitation_probe,time_above_temp_limit_s,False,0.0,0.0,3,multi_seed
FLC,prbs_excitation_probe,time_in_saturation_s,False,0.0,0.0,3,multi_seed
FLC,prbs_excitation_probe,time_out_of_band_s,False,0.02,0.0,3,multi_seed
FLC,prbs_excitation_probe,total_time_unsafe_s,False,0.02,0.0,3,multi_seed
FLC,prbs_excitation_probe,worst_tail_abs_err,False,1093.7367182580138,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,abs_err_p50,False,321.1324150181945,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,abs_err_p90,False,1103.6638607993702,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,abs_err_p95,False,1206.1786341205566,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,arrhenius_exposure,False,4.643285087011578e-14,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,bandwidth_proxy_hz,True,,,0,multi_seed
FLC,steady_state_efficiency_probe,coherence_lowmid,True,,,0,multi_seed
FLC,steady_state_efficiency_probe,cvar_abs_err,False,1305.497610710838,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,effort_l1,False,0.1868233002789005,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,effort_l2,False,0.1292327032817001,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,glfi,True,0.8475489292683385,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,iae_abs_err,False,183.5205989467739,0.0,3,multi_seed
