controller,scenario,pc1,pc2,action,abs_action
FLC,deceptive_sensor_noise,-0.8473907069415545,-2.5384384627418637,0.3181056517446362,0.3181056517446362
FLC,deceptive_sensor_noise,-1.3079423524466172,-2.5858327990135277,0.2181056517446362,0.2181056517446362
FLC,deceptive_sensor_noise,-1.7963812574129168,-2.62067935588538,0.1181056517446362,0.1181056517446362
FLC,deceptive_sensor_noise,-2.308736958277956,-2.6422855125708176,0.0181056517446362,0.0181056517446362
FLC,deceptive_sensor_noise,-2.8000516738617334,-2.57143585021777,0.0,0.0
FLC,deceptive_sensor_noise,-3.2946945540302544,-2.4689465303674867,0.0,0.0
FLC,deceptive_sensor_noise,-3.8164704158380474,-2.3535580437244135,0.0,0.0
FLC,deceptive_sensor_noise,-4.332864430864873,-2.22338328708301,0.0,0.0
FLC,deceptive_sensor_noise,-4.90191685742897,-2.083127512579827,0.0,0.0
FLC,deceptive_sensor_noise,-5.398707998844174,-1.924435349557004,2.7631386539269872e-18,2.7631386539269872e-18
FLC,deceptive_sensor_noise,-6.087065627874632,-1.7669343244878974,5.5262773078539744e-18,5.5262773078539744e-18
FLC,gradual_load_increase_10pct,1.3218389459730064,-1.6480683652602734,0.8,0.8
FLC,gradual_load_increase_10pct,1.644257812455887,-1.5845991947030296,0.9,0.9
FLC,gradual_load_increase_10pct,1.8966690825961625,-1.5294729675336594,1.0,1.0
FLC,gradual_load_increase_10pct,2.028647870186476,-1.5766034858535254,1.0,1.0
FLC,gradual_load_increase_10pct,2.1070940638383813,-1.6267079226546357,1.0,1.0
FLC,gradual_load_increase_10pct,2.1386890572780457,-1.6776515634190239,1.0,1.0
FLC,gradual_load_increase_10pct,2.1287406975520877,-1.7276730015632111,1.0,1.0
FLC,gradual_load_increase_10pct,2.0814602440062924,-1.775312507350763,1.0,1.0
FLC,gradual_load_increase_10pct,2.0003589266531008,-1.819356220516901,1.0,1.0
FLC,gradual_load_increase_10pct,1.8884203067249852,-1.8588075907466728,1.0,1.0
FLC,gradual_load_increase_10pct,1.7481567938761449,-1.8928388269917618,1.0,1.0
